阿城	ACB
白奎堡	BKB
白狼	BAT
百浪	BRZ
百里村	BCZ
百里峡	AAP
柏林	BLW
白龙桥	BUH
白鹿塘	BLH
白马	KMW
白马厂	BCK
白马垅	BMQ
白旗	BQP
白泉	BQL
百色	BIZ
白沙	BSW
白沙冲	BCM
白沙坡	BPM
白沙沱	BXW
柏山	BSF
白山市	HJL
白山乡	BSX
白市	BAD
白石山	BAL
白石岩	BOW
白市驿	BDW
白水	BUW
白水河	BVZ
白水江	BSY
白水镇	BUM
白塔	BOC
白塔村	BTM
白塔工交场	BTI
白涛	BNW
白田	BTG
白土梁	BTJ
白彦花	BHC
白杨畈	BFG
白杨河	BIJ
白音胡硕	BCD
白音库伦	BUC
白银市	BNJ
白音特拉	BRC
白银西	BXJ
白源	BYG
白云	BVD
白庄	BIP
百子湾	BWP
八仙筒	VXD
巴伦台	BNR
半边街	BQW
板城	BUP
半截河	BHB
班猫箐	BNM
板其	BQZ
板桥	BQH
板杉铺	BSG
板石河	BNL
板桃	BUZ
坂田	BTQ
坂尾	BWS
板杖子	BCL
斑竹园	BYW
保德	BAV
宝坻	BPP
保定	BDP
保定东	BMP
报恩寺	BEW
包尔海	BRR
包官营	BGP
褒河	BHY
宝华山	BWH
宝鸡	BJY
宝鸡南	BBY
保家楼	BJW
保健	BPC
宝镜	BJT
保康	BKD
宝拉格	BQC
宝老山	BRW
宝莲寺	BLF
宝林	BNB
宝龙山	BND
宝门乡	BOT
宝木吐	BMC
宝清	BQA
宝泉岭	BQB
宝山	BOL
雹神	BSD
堡石图	PSD
包头	BTC
包头北	BBC
包头东	BDC
包头西	BXC
包头西乘降	BCC
鲍峡	BXN
宝秀	BAM
葆园	BYL
堡子湾	PZC
巴彦高勒	BAC
巴彦郭勒	BGC
白银哈尔	BIC
白云鄂博	BEC
白音察干	BYC
白音他拉	BID
北安	BAB
北白	BBV
北板桥	BBF
北碚	BPW
北仓	BCP
北戴河	BEP
北磴	BBD
北甸	BDT
北斗	BRQ
北甘旗	BQD
北岗	BGL
北海	BHZ
北河	BHJ
北河店	BHP
北湖	BUD
北集坡	BPK
卑家店	BBP
贝江	BJZ
北滘	IBQ
北郊	BCH
北京	BJP
北京北	VAP
北京东	BOP
北京南	VNP
北京西	BXP
背开柱	BAW
北林	BEB
北流	BOZ
北六堡	BUV
北刘庄	VLP
北仑	VOH
北马圈子	BRP
北牟	BVK
椑木镇	BZW
北票	BPD
北票南	RPD
北千里	BNX
北绕阳	BYD
北三家	BET
北舍	BNP
北师店	BHK
北台	BTT
北台子	BWD
北塘	BTP
北塘西	BFP
北田受	BTV
北头河	BTX
北屯	BYP
北屯市	BXR
北辛堡	BXV
北兴安	BNT
北义井	BYV
背荫河	BYB
北营	BIV
北园	BYK
北宅	BVP
北召店	BZF
栟茶	FWH
贲红	BVC
本井	BJC
本溪	BXT
本溪湖	BHT
蚌埠	BBH
蚌埠南	BMH
碧鸡关	BJM
毕家岗	BJH
毕家圈	BJA
笔架山	BSB
碧江	BLQ
毕克齐	BKC
碧石渡	BSN
碧水	BUX
碧州	BOX
边沟	BKT
边昭	BZT
别山	BSP
滨海	FHP
滨海北	FCP
彬江	BJG
滨江	BJB
冰草湾	BWJ
冰沟	BGJ
丙谷	BVW
兵马营	VMP
博鳌	BWQ
渤海	BED
博乐	BOR
勃利	BLB
玻璃山	BOD
波罗赤	BLD
博罗东	BFQ
播明	BMV
博山	BSK
泊头	BZP
博兴	BXK
亳州	BZH
波洲	BZQ
布敦化	BFD
布尔加依	BJR
布海	BUT
卜家沟	BWY
布列开	BLR
埠西头	BTK
步行街	BWW
博克图	BKX
擦耳	KFW
蔡家	CAT
蔡家沟	CJT
蔡家坡	CJY
蔡家庄	CZK
蔡山	CON
采石场	CIL
蔡寨	CFK
蚕厂屯	CUT
沧波门	CMH
仓房	CFM
沧口	CKK
苍南	CEH
苍坪	CEW
苍山	CSX
仓山镇	KVW
苍石	CST
沧州	COP
沧州西	CBP
草坝	CBM
草坂	CBS
曹村	CCK
草店	CDF
曹东庄	CJP
草海	WBW
漕河	CEP
草河口	CKT
曹家坝	CVY
曹家伙场	CCY
曹家堡	CJO
曹家湾	FWW
曹家营子	CVD
漕泾	CPH
曹老集	CLH
草六格尔	CRC
草庙子	CAK
曹浦	CPK
草市	CSL
曹王	CWK
曹县	CXK
曹庄	CWP
曹子里	CFP
册亨	CHZ
策达雅	CYR
岑溪	CNZ
查班河	CBX
查布嘎	CBC
叉车厂	CIT
茶淀	CVP
查干得日斯	CPC
查干哈达	CDC
查干芒和	CMC
叉沽港	GHP
察汗诺	CHO
岔河	CKW
岔江	CAM
茶陵	CDG
茶山	CFQ
岔滩	CTW
茶条沟	CTL
茶亭	CTI
茶坞	CWV
岔西滩	CXJ
查岩	CYZ
茶园	CYQ
茶镇	CEY
柴岗	CGT
柴沟堡	CGV
柴河	CHB
柴凯	COO
柴窝堡	CPR
柴西	CXR
柴庄	CZV
馋口	CKJ
茶山坳	CAQ
长安集	CYH
长安镇	CAH
长城	CEJ
长城梁	CCV
长冲	CCM
长春	CCT
长春东	COT
长春南	CET
长春西	CRT
常村	VCP
常德	VGQ
常德东	VKQ
常德西	VZQ
长甸	CDT
长发	CFT
长发屯	CFB
长丰	CCQ
长岗	CGL
长岗集	CGH
长岗岭	CIZ
长葛	CEF
厂汗	CHC
长河坝	CAW
长河碥	CHW
长虹	CHT
昌吉	CJR
长基	CJS
常家	CJV
长江埠	CFN
昌乐	CLK
昌黎	CLP
长岭岗	CLN
长岭子	CLT
长流水	CLJ
长宁堡	CBO
长农	CNJ
昌平	CPP
常平	DAQ
昌平北	VBP
长坡岭	CPM
长庆	CQS
长沙	CSQ
长沙坝	CBY
长沙埂	CSW
长沙南	CWQ
长沙堡	CSK
长沙西	RXQ
长山	CAZ
长山村	CCL
长山堡	CBL
长山屯	CVT
长哨	ESY
长胜	CEL
长胜沟	CGW
长寿	EFW
长寿北	COW
长潭沟	FCW
长塘	CTZ
长汀	CES
长汀镇	CDB
昌图	CTT
昌图西	CPT
长辛店	CXP
常兴	CXY
长兴	CBH
长兴南	CFH
长阳	CYN
长垣	CYF
长畛	CQV
长征	CZJ
长治	CZF
长治北	CBF
常州	CZH
常州北	ESH
常庄	CVK
长子	ECF
潮安	CMQ
巢北	ICH
朝查	CCX
朝格温多尔	CWC
巢湖	CIH
超梁沟	CYP
炒米店	CMK
潮莫	CMX
朝脑沟	CAC
潮汕	CBQ
潮水	CUB
朝天	CTY
朝阳	CYD
潮阳	CNQ
朝阳川	CYL
朝阳村	CUX
朝阳地	CDD
朝阳南	CND
朝阳镇	CZL
朝原	CYX
朝中	CZX
潮州	CKQ
察尔汗	CRO
车墩	MIH
车岗	CGQ
车家营子	CRD
车转湾	CWM
陈官营	CAJ
陈家沟	CAV
陈家河	CHN
陈家湖	CJN
谌家矶	CSN
陈家台	CVQ
陈家疃	COK
陈家湾	CWW
陈江	CJQ
晨明	CMB
辰清	CQB
陈塘庄	CTP
辰溪	CXQ
陈相屯	CXT
郴州	CZQ
郴州西	ICQ
承安铺	CAP
程村	CCZ
承德	CDP
承德东	CCP
成都	CDW
成都东	ICW
成都南	CNW
成都中心	CDA
成高子	CZB
呈贡	CGM
城固	CGY
程家	CUP
程家庄	CJK
城口	CKS
澄迈	CRQ
城门	CMS
成团	CUZ
城厢	CFW
城阳	CEK
城子坦	CNT
赤壁	CBN
赤壁北	CIN
赤峰	CFD
赤峰东	CUD
赤峰西	CID
池河	CHY
赤水	CSY
池州	IYH
重庆	CQW
重庆北	CUW
重庆东	CIW
重庆南	CRW
重庆西	CXW
崇仁	CRG
崇信	CIJ
崇左	CZZ
初城	CEQ
褚家湾	CWJ
楚山	CSB
楚雄	COM
楚雄西	COV
滁州	CXH
滁州北	CUH
川山坪	CHQ
川水	CIQ
穿心店	CVW
串子沟	CZD
创业村	CEX
春风	CFJ
纯化	CDK
春申	CWH
春亭阁	CGX
春湾	CQQ
春阳	CAL
茨坝	CBW
慈城	CCH
茨冲	CCW
慈湖	CHH
磁涧	CIF
慈利	CUQ
磁山	CSP
磁西	CRP
磁县	CIP
磁窑	CYK
瓷窑湾	CYC
慈义	CYG
翠峰	CFX
翠岗	CIX
翠亨	IHQ
崔黄口	CHP
崔家营子	CZT
翠峦	CLB
崔马庄	VZP
崔马庄所	01A
翠屏山	CPV
崔寨	CZI
大安	RAT
大安北	RNT
大巴	DBD
大坝	DBJ
大板	DBC
达板城	DCR
大保当	DDY
大毕庄	RBP
大步	DBR
打柴沟	DGJ
大厂县	REP
大成	DCT
大城子	DCP
大川	DCL
大德	DEM
大磴沟	DKJ
大甸	DDD
大东	DDL
大渡口	DKW
达盖	DAC
大岗	DGG
大港	DGK
大姑家	DGL
大关	RGW
大关冲	DCW
大观岭	DOB
大官屯	DTT
大河坝	DIW
大黑山	DNL
大红旗	DQD
大湖	DPH
大虎山	DHD
大荒地	DVD
大灰厂	DHP
达家沟	DJT
大涧	DFP
大旧庄	DJM
大苴	DIM
大觉寺	DLP
大口钦	DKL
大口屯	DKP
大昆仑	DKK
打括	DOW
达拉滨	DFX
打拉亥	DHC
达拉特西	DNC
大理	DKM
大荔	DOY
大理北	DYM
大理东	DLF
大梨树	DRL
大栗子	DLL
大连	DLT
大连北	DFT
大良	DAX
大林	DLD
大岭	DOZ
大刘家	DBT
大陆号	DLC
大米溪	DMY
大民屯	DMX
大拟	DNZ
大盘石	RPP
大平房	DPD
大堡	DVT
大埔	DPI
大其拉哈	DQX
大桥	DQL
大庆	DZX
大青沟	DSD
大庆西	RHX
大泉	DQR
达日其嘎	DQC
大溶江	DRZ
大山铺	DSW
大深	DSS
大石桥	DQT
大石头	DSL
大石寨	RZT
大石庄	RSV
大树湾	DSC
大松树	DUM
大台	DBP
大滩	DTY
大塘	DNM
大田边	DBM
大同	DTV
大同东	DDV
大同南	DIV
大同县	DFV
大土	DTW
大土山	DTD
大屯	DNT
大湾	DMW
大湾子	DFM
大王滩	DZZ
大武口	DFJ
大乌苏	DWX
大西	DXB
大西一场	DXI
大仙	RXT
大辛庄	DXF
大兴	DXX
大兴沟	DXL
大兴镇	DZL
大徐屯	DWD
大雅河	DDT
大雁	DYX
打羊	RNW
大阳岔	DWL
大扬气	DKX
大杨树	DUX
大杨树东	RYX
大洋洲	DZG
大英	PNW
大营	DYV
大英东	IAW
大营镇	DJP
大营子	DZD
大用	DUW
大元	DYZ
大寨	DZW
大战场	DTJ
大杖子	DAP
大郑	DAT
达州	RXW
达州东	DHW
大竹园	DZY
大足	RIW
带岭	DLB
代马沟	DUB
代湾	DWW
待王	DWF
代县	DKV
岱岳	RYV
达拉特旗	DIC
丹东	DUT
丹凤	DGY
丹水池	DCN
丹徒	RUH
丹阳	DYH
丹阳北	EXH
儋州	DNQ
党家庄	DJK
砀山	DKH
当雄	DAO
当阳	DYN
党峪	RIP
道德	DCC
刀尔登	DRD
道口	DKD
道老杜	DED
道劳杜	DBX
道仑郭勒	DEC
道清	DML
道镇	DSY
道州	DFZ
大罕	DAD
德安	DAG
德伯斯	RDT
德惠	DHT
德惠西	DXT
德清	DRH
德清西	MOH
德仁	DEX
德胜	DEZ
得胜村	DCD
得胜台	DET
德阳	DYW
德州	DZP
德州东	DIP
德令哈	DHO
邓家湾	REW
登沙河	DWT
灯塔	DGT
登瀛崖	DNW
邓州	DOF
得耳布尔	DRX
德日斯图	DRC
滴道	DDB
滴台	DKT
低窝铺	DWJ
低庄	DVQ
电白	DEQ
甸苴坝	DVM
店坡	DSV
甸心	DXM
刁家段	DDC
定边	DYJ
丁家滩	DPP
丁家营	DJN
丁家园	DIT
定南	DNG
定陶	DQK
定西	DSJ
定襄	DXV
定兴	DQP
定远	EWH
定州	DXP
定州东	DOP
定州西	DZA
东安	DAZ
东安东	DCZ
东边井	DBB
东大坝	DUD
东大道	DOD
东二道河	DRB
东方	UFQ
东方红	DFB
东丰	DIL
东丰北	DBL
东富	DUL
东阜新	DFD
东宫	DGX
东沟门	DGD
东莞	RTQ
东莞东	DMQ
东光	DGP
东海	DHB
东海县	DQH
东壕	DOX
东湖	DMT
东花园	DNP
东佳木斯	DMB
董家坪	DPW
董家庄	DZK
东津	DKB
东京城	DJB
东来	RVD
东梁	DID
东陵	DRT
东门	DNB
洞庙河	DEP
东明村	DMD
东明县	DNF
东南营子	RND
东坡	DPF
氡泉	DOL
东山	DAL
东升	DRQ
东胜	DOC
东升坝	DAW
东胜西	DYC
东水峡	RSJ
东台	DBH
东田良	DTF
东通化	DTL
东土城	DTC
东湾	DRJ
东乡	DXG
东辛庄	DXD
东兴	DXC
东戌	RXP
东阳关	RGP
东营	DPK
东营子	DYD
东淤地	DBV
东榆林	DJV
东园	DYP
东元庆	DUF
东镇	DNV
东至	DCH
东庄	DZV
董庄	DFF
洞子村	DCJ
洞子崖	DFY
豆坝	DRW
窦店	DDP
豆各庄	RRP
斗沟子	DGB
斗虎屯	DOT
豆罗	DLV
豆沙关	DJW
豆张庄	RZP
豆庄	ROP
杜尔基	RRD
都格	DMM
杜家	DJL
杜家坎所	DTP
杜家台	DJC
都江堰	DDW
渡口	DXW
都拉营	DLW
独立屯	DTX
都伦	DLX
独山	RWW
渡市	RUW
读书铺	DPM
杜坞	DWS
都匀	RYW
杜赵	DEY
段家	DJD
段甲岭	RJP
对青山	DQB
兑镇	DWV
杜拉尔	DVX
敦化	DHL
敦煌	DHJ
墩义堂	RTH
多尔本毛道	DGC
峨嵋	EMA
峨边	EBW
峨眉	EMW
鄂州	ECN
额济纳	EJC
恩施	ESN
二岔	ECL
二道沟	RGC
二道沟门	RDP
二道河	RDL
二道桥	EKW
二道沙河	RDC
二道湾	RDX
二道岩	RDW
二宫	RGR
二井	EJA
二郎庙	EMF
二龙	RLD
二龙山	RIT
二龙山屯	ELA
二密河	RML
二堡	RBR
尔赛河	RSW
二塘	RTZ
二塘区	RTW
二营	RYJ
二营子	EYT
二连	RLC
发耳	FEM
范各庄	FGP
范家屯	FTT
繁峙	FSV
范镇	VZK
防城	FAZ
防城港	FEZ
防城港北	FBZ
房山	FRP
芳山镇	FSD
肥东	FIH
肥西	FAH
费县	FXK
汾河	FEV
分路口	FKH
分水寺	FRW
汾阳	FAV
分宜	FYG
封浜	FBA
丰城	FCG
丰城南	FNG
峰洞	FDW
丰都	FUW
峰峰	FFP
峰高铺	FPW
丰广	FGL
奉化	FHH
凤凰	FHZ
凤凰城	FHT
凤凰村	FHV
凤凰山	FHM
冯家坝	FBW
冯家山	FJY
枫泾	FJH
丰库	FKD
丰乐镇	FZB
丰林	FLT
风陵渡	FLV
丰南	FDP
封丘	FQF
丰润南	FPP
丰水村	FSJ
风水沟	FGD
丰顺	FUQ
丰台	FTP
丰台西	FXP
冯屯	FTX
凤县	FXY
凤翔	FOY
凤阳	FUH
枫叶岭	FYL
凤仪村	FIM
丰镇	FZC
凤州	FZY
佛岭	FLB
佛山	FSQ
佛峪	FYV
福安	FAS
附城	FCZ
富川	FDZ
福德	FOS
福鼎	FES
福港	FGG
府谷	FUV
富海	FHX
福海	FHR
傅家屯	FTD
富江镇	FJB
福金	FJT
富锦	FIB
福巨	FJC
符离集	FLH
福利屯	FTB
浮梁	FEG
富林	FLX
福临堡	FLY
涪陵	FLW
涪陵北	FEW
涪陵西	FFW
阜南	FNH
抚宁	FNP
阜宁	AKH
抚宁北	FBV
福清	FQS
福泉	VMW
福山口	FKP
福山寺	FSP
复盛	FAW
福生庄	FSC
抚顺	FST
抚顺北	FET
扶绥	FSZ
富太哈	FTL
浮图峪	FYP
福溪	FXW
富县	FEY
富县东	FDY
阜新	FXD
福兴地	FXC
阜阳	FYH
扶余	FYT
富裕	FYX
扶余北	FBT
富源	FYM
抚远	FYB
福州	FZS
抚州	FZG
抚州北	FBG
福州东	FDS
福州南	FYS
傅庄	FZP
富庄子	FIP
富拉尔基	FRX
嘎拉德斯汰	GLC
嘎什甸子	GXD
嘎什吐	GED
改貌	VHW
盖州	GXT
盖州西	GAT
干坝子	GZW
甘草店	GDJ
感德	GRS
干沟	GGL
甘谷	GGJ
甘河	GAX
甘河子	GZR
甘家坝	RAW
甘洛	VOW
甘泉	GQY
甘泉北	GEY
赶水	GSW
干塘	GNJ
甘棠	GTG
泔溪	VDW
干溪沟	KXW
赣县	GVG
赣州	GZG
赣州东	GDG
赣州南	GNG
刚察	GCO
缸窑	GOL
甘旗卡	GQD
高坝	GBA
高碑店	GBP
高碑店东	GMP
藁城	GEP
高村	GCV
高店铺	GPY
高尔山	GET
高峰	GFW
高各庄	GGP
高谷	FGW
高家	GJX
高家村	GAC
高家会	GHV
高家岁	GJT
高境庙	GJA
皋兰	GEJ
高老	GOB
高梁铺	GLY
高林屯	GOD
高岭	GLD
高楼房	GFM
高炉子	VZW
高密	GMK
高骈	VRW
高平	GPF
高坪铺	GPW
高桥镇	GZD
高泉	GQR
高山子	GSD
高寺台	VTP
高台	GTJ
高台山	GTD
高台子	GTX
高滩	GAY
高潭子	GTY
高头	GOX
高兴	VWW
高兴镇	GEG
高阳镇	GYT
高邑	GIP
高邑西	GNP
郜营	GYN
高州	GSQ
葛根庙	GGT
革居	GEM
格口	GKS
阁老坝	VPW
格勒	GKC
格里坪	VIW
隔蒲	GPN
格以头	GYM
革镇堡	GZT
革志	GVT
鸽子洞	GAD
根河	GEX
根龙	GOZ
艮山门	GSH
耿家屯	IAT
耿坡	GEF
格尔木	GRO
贡川	GCS
共和	GWW
公积坂	GJC
贡家台	GJP
公庙子	GMC
工农湖	GRT
共青城	GAG
功山	GSM
公兴	GUW
巩义	GXF
巩义南	GYF
公营子	GYD
公主埂	GZC
公主岭	GLT
公主岭南	GBT
沟帮子	GBD
沟口	GKX
构林	GOF
固安	GFP
古北口	GKP
古城	GCB
谷城	GCN
古城湾	GCC
古城镇	GZB
古城子	GFT
古店	GIV
孤店子	GZL
古东	GDV
古河	GHR
姑家堡	GPC
古家沱	GJW
孤家子	GKT
古交	GJV
谷口河	GKW
古浪	GLJ
古里金	GLX
古莲	GRX
古鲁满汗	GHC
孤山	GSC
孤山川	GSV
孤山口	GSP
孤山子	VSD
固始	GXN
古田	GTS
古冶	GYP
古营盘	GYC
菇园	GYL
古源	GUX
固原	GUJ
古砦	GRZ
古镇	GNQ
固镇	GEH
瓜房子	GFC
瓜州	GZJ
冠朝	GLG
关村坝	GMW
官渡	GDY
官高	GVP
观阁	VUW
官家	GUT
关林	GLF
关碾房	GNC
灌水	GST
官厅	GTP
官厅西	KEP
观音山	GYY
关寨	GRW
冠豸山	GSS
官字井	GOT
广安	VJW
广安门	GAP
广德	GRH
广德号	GDD
广汉	GHW
光辉	GHL
广梅汕铁旅	GMA
光明	GMX
光明城	IMQ
广南卫	GNM
广宁寺	GNT
广深铁旅	SAA
广盛	GND
广水	GSN
广顺场	GCW
广铁青旅	TQA
广通	GOM
广卫村	GWM
广兴	GXW
广元	GYW
广元东	GOW
广元南	GAW
光泽	GZS
广州	GZQ
广州北	GBQ
广州东	GGQ
广州南	IZQ
广州西	GXQ
归德乡	GEW
贵定	GTW
贵定南	IDW
贵港	GGZ
桂口	GUS
桂林	GLZ
桂林北	GBZ
桂平	GAZ
贵溪	GXG
贵阳	GIW
贵阳北	GBW
贵阳西	GQW
归流河	GHT
郭二庄	GRP
国光	GGR
果河	GBM
郭家店	GDT
郭家屯	GJD
郭磊庄	GLP
果松	GSL
涡阳	GYH
虢镇	GZY
郭尔奔敖包	GRC
哈川	HCX
哈达	HVX
哈达阳	HYX
哈尔盖	HRJ
哈福	HFL
哈拉	HLC
哈拉沟	HOX
哈拉海	HIT
哈拉黑	HET
哈拉苏	HAX
哈力图	HFX
蛤蟆塘	HMT
哈密	HMR
哈密东	HGR
哈密南	HLR
哈日努拉	HRD
哈业胡同	HTC
哈克	HKX
海安南	VMQ
海安县	HIH
海北	HEB
海城	HCT
海城西	HXT
海丰	HFD
海口	VUQ
海口东	HMQ
海浪	HAB
海林	HRB
海龙	HIL
海伦	HLB
海南票务	HNA
海宁	HNH
海宁西	EUH
海石湾	HSO
海棠寺	HTF
海坨子	HZT
海湾	RWH
海晏	HFO
海阳	HYK
海拉尔	HRX
海拉尔东	HLX
哈玛	HFT
韩城	HCY
汉川	HCN
寒葱沟	HKB
罕达盖	HWX
邯郸	HDP
邯郸东	HPP
韩府湾	HXJ
汉沟镇	HZP
汉沽	HGP
韩家村	HNC
韩家沟	HGD
韩家岭	HAV
韩家楼	HKV
韩家园	HJX
涵江	HJS
涵江北	HCS
韩坑	VKG
汉口	HKN
寒岭	HAT
韩麻营	HYP
汉寿	VSQ
汗苏鲁	HQC
罕台川	HCC
菡潭	HNG
韩堂	HDF
汉旺	HIW
汉王山	HOW
汉西	HXN
汉阳	HYN
汉阴	HQY
汉源	WHW
汉中	HOY
韩庄镇	HZF
杭锦后旗	HDC
杭锦旗	HJC
杭州	HZH
杭州北	HEH
杭州东	HGH
杭州东所	CVH
杭州南	XHH
好力套高	VGD
浩良河	HHB
好鲁库	HKC
豪门	HNX
哈尔巴岭	HRL
哈尔滨	HBB
哈尔滨东	VBB
哈尔滨西	VAB
哈尔滨南	VNB
赫尔洪得	HDX
鹤北	HMB
鹤壁	HAF
鹤壁北	HBF
鹤壁东	HFF
河边	HBV
合川	WKW
河唇	HCZ
和村	HNP
贺村	HCH
河东	HDJ
合肥	HFH
合肥北	HBH
合肥北城	COH
合肥西	HTH
鹤岗	HGB
和吉镇所	HBZ
禾家村	HJQ
贺家店	HJJ
何家湾	HJH
河间西	HXP
河津	HJV
和静	HJR
河口南	HKJ
鹤立	HOB
河里	HLZ
何刘	HIN
和龙	HLL
河洛营	HYD
河南	HEL
和平	VAQ
和平村	HIC
合浦	HVZ
和气庄	HVK
鹤庆	HQM
贺日斯台	HMC
何三家	HJD
鹤山	HSX
合山	HAZ
贺胜桥东	HLN
河市坝	HDW
和什托洛盖	VSR
河潭埠	HTG
河汤沟	HTD
核桃园	KHW
河湾	VAJ
河湾子	HUL
河下	HXG
合阳	HAY
河阳	IOW
荷叶	HQQ
荷叶花	HHD
河源	VIQ
菏泽	HIK
菏泽南	HOK
何寨	HRY
贺州	HIZ
黑城子	HCD
黑冲滩	HCJ
黑岗	HGX
黑河	HJB
黑河土	HAC
黑井	HIM
黑老湾	HWM
黑山	HED
黑山湖	HBJ
黑山寺	HVP
黑山头	HOL
黑石木	HST
黑石铺	HOQ
黑水	HOT
黑台	HQB
黑土凹	HTM
黑旺	HWK
横车	VEN
横道河子	HDB
恒地营	VVX
横店	HDN
横店东	HEN
横峰	HFG
横岗	HOG
横沟桥东	HNN
横江	RJW
横林	HHH
横岭关	HLV
衡山	HSQ
恒山	HSB
衡山西	HEQ
衡水	HSP
横水镇	HEV
横现河	HXY
衡阳	HYQ
衡阳北	HKQ
衡阳东	HVQ
横阳山	HRQ
呼和浩特	HHC
呼和浩特东	NDC
呼和温都尔	HPC
昆独仑召	KDC
红安	HWN
红安西	VXN
洪安乡	HAW
红白场	HVW
红层	HCR
洪洞	HDV
红房子	HZB
红峰	HFW
红峰岭	HFC
洪沟	HGK
红光	HUR
红光镇	IGW
红果	HEM
洪河	HPB
红花沟	VHD
红花铺	HHY
红花塘	HHW
红花园	HYW
洪家屯	HQP
洪家嘴	IHW
红江	HFM
红柳河	HHR
红茂	HMO
红旗	HQD
红旗村	HER
红旗坎	HKR
红旗营	HQX
宏庆	HEY
红砂坝	HSC
红砂岘	VSJ
红山	VSB
洪善	HSV
红山口	HSR
红石	HSD
红石砬子	HZL
红石崖	HSA
红寺堡	HSJ
红台	HTR
宏图	VTX
红土沟	HGM
红卫	VWJ
红卫坝	HWY
红岘台	HTJ
红星	VXB
鸿兴	HVT
红兴隆	VHB
红崖	HVV
红彦	VIX
洪掌	HUP
和田	VTR
后坝	HOC
厚坝	HBW
后封台	HFP
后沟	HOR
后官山	HVD
侯家坪	HJW
侯马	HMV
鲘门	KMQ
后坪	HFQ
猴山	HEP
侯潭	HQH
厚溪	HIG
后溪街	HXH
后寨	HOF
后章村	HAP
侯杖子	HZD
侯宗庙	HJP
湖北	HBX
湖潮	HCW
湖东	HUV
虎尔虎拉	HHX
虎峰	HFB
湖丰	HUG
呼和浩特南	HWC
呼和西场	HCA
呼吉尔	HRC
忽吉图	HEC
胡家店	HDT
呼家塔	HTY
胡家营	HBN
湖口	HKG
呼兰	HUB
虎林	VLB
葫芦	HVC
葫芦岛	HLD
葫芦岛北	HPD
虎门	IUQ
湖南	HNT
琥珀湖	HPT
虎山	HVB
琥市	HSI
虎什哈	HHP
虎石台	HUT
湖田	HUK
湖头	HTS
呼图壁	HWR
湖屯	HRK
浒湾	EYN
户县	HUY
湖沿	HYG
呼源	VYX
呼中	VZX
湖州	VZH
湖州西	HVH
互助	HCB
互做布其	HZC
华安	HAS
华城	VCQ
化处	HEW
化德	HGC
花果	HGN
华家	HJT
华江	HUZ
花家庄	HJM
桦林	HIB
花龙门	HMM
花楼坝	HFY
桦南	HNB
花棚子	HZM
桦皮厂	HPL
花桥	VQH
画桥	HVG
华容	HRN
花山	HML
华山	HSY
华山北	HDY
化稍营	HXV
花吐古拉	HOD
花土坡	HMW
滑县南	HXF
华蓥	HUW
化鱼山	HYH
花园	HUN
华源	HWG
化州	HZZ
花庄	HZJ
